url,full_text,retweet_count,views_count
https://twitter.com/TheReportify/status/1747391869577818497,"JUST IN: Joni Simpson appointed as Director for ILO Sri Lanka and Maldives, bringing extensive experience in gender equality and inclusion. #SriLanka #Maldives #ILO",0,35
https://twitter.com/ILOColombo/status/1747213521505710361,"The @ilo country office for #SriLanka and the #Maldives welcomes new country director Joni Simpson. 
@jonisimpson assumed duties on 15th Jan 2024, and brings over 25 years of experience of working on #gender equality and #inclusion in the world of work.

https://t.co/SGYxOK2Sj0 https://t.co/W78CXFjxh4",1,1369
https://twitter.com/Juliett59778255/status/1727054530284548396,"Biden spending $17 million on 'social cohesion' – in SRI LANKA! 

Biden spending $17 million on 'social cohesion' – in SRI LANKA!
And he demands 'gender and social inclusion' analysis

https://t.co/hNnUgMeGS2",1,6
https://twitter.com/Real_AnTheFacts/status/1726346246816780609,"WASTE OF THE DAY: Throwing $17 million of taxpayer $$ at ill-defined projects with abstract goals 

WHAT A DAMN FOOL‼️‼️

BIDEN spending $17 million of our taxpayer money on 'social cohesion' – in SRI LANKA!

And he demands 'gender and social inclusion' analysis

(by Adam… https://t.co/Moj5v7FneH",41,2028
https://twitter.com/kunleaden/status/1724723938360803836,"At the ongoing 7th Asia Pacific Population Conference, #SriLanka shared progress made &amp; renewed her commitment to implement the #ICPD POA and the #Nairobi pledge

 will accelerate investment in #SRHR, youth inclusion,  gender equality, climate resilience, elderly care &amp; data 4… https://t.co/y9oMf7pCqV",5,569
https://twitter.com/GoodMarket_/status/1723534973632762077,"Lala Studio creates functional upcycled products that support sustainability and inclusion and enable people to wear their values. 

They use discarded pants and other garment waste from the textile industry in Sri Lanka to produce gender-neutral ...

https://t.co/85foFha4Af https://t.co/AZSSMLPGR4",1,90
https://twitter.com/thecrisislab/status/1712664524438786089,"Job title: Gender, Youth, and Social Inclusion (GYSI) Specialist 
Location: Sri Lanka 
Application Deadline: November 4, 2023 
Link: 
https://t.co/i75MQcGm6W",0,4
https://twitter.com/intjobs/status/1711781184462533132,"Gender, Youth, and Social Inclusion (GYSI) Specialist, ACDI/VOCA, Colombo, Sri Lanka

https://t.co/hhLHUfcqou",0,13
https://twitter.com/povmumbai/status/1711359052771672383,"Joining us from across India, #Kenya, #SriLanka and #Australia, our panelists will demystify #digitaldivides and inclusion by drawing from our one-of-a-kind series of studios on Digital Self-Determination and Disability. 

#digitalselfdetermination #gender #disability",1,269
https://twitter.com/ecfindia/status/1567128069718278144,"The session on 'Gender: Transforming MENtalies and empowering women, men and girls and boys for inclusion and resilience' was led by Anjana Goswami and Sudakshina Aich for over 100 participants from India, Sri Lanka and Maldives. (2/2)

@unesconewdelhi https://t.co/OWlg5K09ZH",0,0
https://twitter.com/PRC_official/status/1692114042117382471,"Empowering change together! PRCS joins hands with Norcross for a transformative session on gender protection, inclusion, &amp; community engagement.  Participants from PRCS branches nationwide gathered as Dr. Sinha from Sri Lanka led an insightful training in Islamabad. https://t.co/jroYTAoDHT",0,133
https://twitter.com/ayyoafry/status/1540365012908269570,"Cricket has no limitations, only inclusion, regardless of race, age, class or gender. This is an act of sheer kindness by the AU cricket team visiting Sri Lanka during a severe economic crisis and putting a smile on millions of people while also giving us something to relish. https://t.co/1jsuaDKnsK",0,0
https://twitter.com/UNDPSriLanka/status/1663749163333419011,"#DYK that only 9.5% of existing key policies &amp; strategies in #SriLanka recognize the differential impacts of climate change on men &amp; women?

READ more in @UNDP #lka's  brief on 'Policy Implications of Gender, Inclusion &amp; #ClimateChange Nexus' https://t.co/2NZcAabjfE https://t.co/wY07UKDUrS",14,6122
https://twitter.com/USAIDAsia/status/1648639546639241216,"Inspired after a regional women peacebuilder gathering supported by @USAID, female peacebuilder Kaush Weerakoon created a women peacebuilder network in Sri Lanka to discuss &amp; learn about #gender #inclusion #genderbasedviolence &amp; #womensempowerment. https://t.co/M1PXoBBkWC",3,719
https://twitter.com/GggiSri/status/1537716147658838022,"GGGI is hiring consultants in Sri Lanka. 

Sri Lanka National Consultant - Gender Equality &amp; Social Inclusion (GESI)

Sri Lanka National Consultant - Climate Change Research

Apply via: https://t.co/MK2MdIpLfR",2,0
https://twitter.com/GggiSri/status/1492111716204920838,GGGI Sri Lanka is grateful for the Ministry of Environment’s continued support and for today’s presence through the Air Resources Division. Today’s presentation also discussed the role of smart technologies for gender and social inclusion in sustainable public transport.,0,0
https://twitter.com/BarthelmessE/status/1636614485527134208,"How to achieve gender equity? South Africa @DearestC04: equality of opportunity X equality of conditions; Sri Lanka @sashisp: inclusion makes economic sense; European Union @IwonaPiorkoEU: solutions must be sustainable; Ireland @IEAmbSingapore: fix society, not women. https://t.co/7PUvibbBX5",2,695
https://twitter.com/StigmabaseU/status/1632445553052356608,"TW :  No Title: ...loans to countries like Sri Lanka, Pakistan and Nepal.""India has accorded high priority to gender inclusion and empowerment of women. In fact, we endeavour to promote a women-led development,"" Mr Jaishankar... https://t.co/8A1wDZYZSf https://t.co/LMEprSuoZm",0,29
https://twitter.com/CANSouthAsia/status/1624002728207990784,"#New Report : Gender and Child Inclusion in Policies on Climate Change in South  Asia. A study from Nepal, Sri Lanka and Bangladesh
https://t.co/7apyjjFebm

#situationanalysis #gendertransformative #gender #climatechangepolicies #southasia  #genderneutral 
@stc_india https://t.co/OAADjpbt4I",6,744
https://twitter.com/SimonManleyFCDO/status/1620702958911647746,"At this morning’s Universal Periodic Review of Sri Lanka  in the  Human Rights Council I welcomed recent efforts to foster political inclusion and constitutional reform, and made recommendations on memorialisation, sexual orientation &amp; gender identity, and land expropriation https://t.co/GWUFc5yAuc",5,2332
https://twitter.com/Advoca_kaushal/status/1614217007540441089,"I had a brainstorming and knowledge sharing coffee chat with Mr.Francesco #Gender specialist of @AsianDevelopmentbank and I was happy that I had a chance to contribute from my knowledge and experience for the next #ADB Bank project in Sri Lanka. 
#diversity #inclusion #LGBT https://t.co/LOkEKuIFNh",0,218
https://twitter.com/NuskyMukthar/status/1579495090917347330,"Women Parliamentarians’ Caucus examine the 22nd Amendment Bill from a Gender Equality and Social Inclusion (GESI) perspective 

 Read More: https://t.co/82SakCu8q4

#SriLanka #lka #SLparliament #WomenEmpowerment #GESI",0,0
https://twitter.com/Traveller_hints/status/1487688862872727553,"@RajapaksaNamal @MoYS_SriLanka @MahelaJay Gender differences in financial inclusion put women at a further disadvantage, especially in times of crisis.
Women are generally paid less than men and lack the financial literacy skills and confidence needed to invest their money.
But ways to become a financial feminist.",0,0
https://twitter.com/TyBSaunders/status/1463374330092470272,"Why is Gender Equity and Social Inclusion 

included in an Ocean Plastic Reduction Activity Grant 

- Ocean Plastics Pollution in Sri Lanka and Maldives

Does this make any sense? https://t.co/NBXenYBSWL",1,0
https://twitter.com/RanjithKodituw1/status/1455713124263337987,@PBSriLanka was recognized as one of #SriLanka’s Top 10 women friendly work places this week by CIMA Sri Lanka and ⁦⁦@SatynMagazine⁩ . #Women-empowerment thru career development and #gender inclusion at work remain core at @PBSriLanka. https://t.co/PkkOjf1fnd,0,0
https://twitter.com/RanjithKodituw1/status/1455712095249575939,⁦@PBSriLanka⁩ was recognized as one of #SriLanka’s Top 10 women friendly work places this week by @cimasrilanka and Satyn magazine. #Women -empowerment thru career development and #gender inclusion at work remain core at @PBSriLanka. https://t.co/sb4lSeR384,0,0
https://twitter.com/SingerHanaa/status/1450738118512963590,"Women’s equal leadership, inclusion and gender-balanced decision making are simply better for everyone, men and women alike. 
Marking UN Day with a panel of women experts discussing #OurCommonAgenda: focus on #SriLanka. 
22 Oct 
⏰3.00 pm 
Register https://t.co/J4B7CSAO9Y https://t.co/QjsEGySBMG",4,0
https://twitter.com/ficci_india/status/1442768560296644608,"More and more companies are beginning to realize that greater gender inclusion at the board level is the right thing to do: Ms @NdhDua, Head of India &amp; Srilanka Region - Marks &amp; Spencer India Pvt Ltd at @thegreater50 Conclave. https://t.co/YVjsewhBrd",4,0
https://twitter.com/Hercircle_Off/status/1442729312340168706,"""We want more gender inclusion to go beyond one person on the Board. One person on the Board becomes tokenism"": @ndhdua Head of India &amp; Srilanka Region-Marks &amp; Spencer India Pvt Ltd @ficci_india 
@thegreater50 @FICCIFLO #thegreater50 #HerCircle #HerCircleHasNoLimit @HerCircle_Off https://t.co/b6Xiz9WRaI",4,0
https://twitter.com/WBG_Gender/status/1438198555613798408,.@IFC_SouthAsia &amp; @AusHCSriLanka invite firms in #SriLanka  to explore company commitments to increasing the economic inclusion of persons with #disabilities and/or #SexualOrientation &amp; #GenderIdentity minorities. Register by Sep 16  https://t.co/ObmZBkq1kf #TogetherWeCan https://t.co/2Jlt1TwZWm,2,0
https://twitter.com/MVAUAlumni/status/1426209697170788362,"A proud moment! #AustraliaAwards alumna Hawwa Leesha from #Maldives &amp; Shashini Gamage from #SriLanka joined the Regional Gender Equality, Disability &amp; Social Inclusion (GEDSI) Summit as panelists on 28-30 July 2021. “Breaking Barriers: Working Together Towards Inclusive Recovery"" https://t.co/SVM14xMjYM",0,0
https://twitter.com/SLYCANTrust/status/1411934272353619970,"@DMombauer @FT_SriLanka We also have an issues paper that outlines key challenges and opportunities for a #justtransition in the #energy, food sector and several cross-cutting topics: gender, #youth, social inclusion and protection, and a just #COVID19 recovery.

Read it here⤵️
https://t.co/z5i5Gyklkd https://t.co/SJDONiGFx0",0,0
https://twitter.com/CanHCSriLanka/status/1379735982308741122,"Are you a Canadian citizen resident in #SriLanka with a passion for empowering vulnerable youth &amp; young women? Then apply now to volunteer for  IGNI+E project of WUSC @wuscSL as Software Developer Advisor or Gender &amp; Inclusion Advisor. 

Apply now: https://t.co/8Gk8msAtlJ https://t.co/ACsB6w4qtY",2,0
https://twitter.com/WFD_SriLanka/status/1336915364391899136,"Today we celebrate human rights and the democratic systems that guard them. WFD in Sri Lanka and CSOs and experts are exploring data and evidence on issues related to gender, inclusion, disability, age, LGBT+, ethnicity etc, taking an intersectional approach to our work. #BeHeard",0,0
https://twitter.com/WFD_SriLanka/status/1336714236345511941,Cross-party members of Sri Lanka Parliament take steps to champion gender and inclusion. What a super development and way to mark international human rights day. WFD in Sri Lanka looks forward to continuing support for a gender responsive and inclusive Parliament.,2,0
